ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Product Type,Application,Display Type,Backlight Technology Type,Diagonal Viewable Screen Size (in.),Screen Area (sq. in.),Native Horizontal Resolution (pixels),Native Vertical Resolution (pixels),Resolution Format,High Contrast Ratio (HCR) Display,Physical Data Ports Available,Ethernet Supported,Low Power Wireless Technologies Supported,Features,Automatic Brightness Control,Is Automatic Brightness Control Enabled by Default in the Default SDR Preset Picture Setting When Television is Shipped?,Average On Mode Power Consumption for Certification (watts),Maximum Average On Mode Power for Certification (watts),Reported On Mode Power (per the Federal Test Procedure) (watts),Reported Annual Energy Consumption (kWh),Measured Standby Mode Power (Watts),Power Consumption in Standby Mode when Not Connected to a Network (watts),Power Consumption in Standby Mode when Connected to a Network (watts),"Reported Standby-Active, Low Mode Power (watts)",Date Available On Market,Date Certified,Markets,CB Model Identifier
2402123,Curtis International Ltd.,Rca,65D1,65D1,",65N1,; ,RTAU6504,; ,RTAU6540.,; ,RTRU6527,; ,RWOSU6547,; ,RWOSU6547-A,; ,RWOSU6548,; ,WR65UC4210,; ,WR65UE4210,; ,WR65UT4210,; ,WR65UT4212,; ,WR65UX4210,; ,WR65UX4210V,; ,WR65UX4212,",,Television (TV),Consumer,LCD,Direct-lit LED,64.5,1798.5,2160,3840,Other,0,"Universal Serial Bus (USB),Other,HDMI",,,,0,,117.69,147.81,117.69,216.87,,0.3,0.3,0.3,2022-10-20,2022-09-29,"United States, Canada",ES_1120898_65D1_09282022113050_6627618
2403227,"ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED",Sansui,LE-24T1,LE-24T1,",EC24T1H,; ,EC24T1HA,; ,EC24T1HN,; ,EC24T2H,; ,EC24T2HA,; ,EC24T2HN,; ,EC24T3H,; ,EC24T3HA,; ,EC24T3HN,; ,ES24T1H,; ,ES24T1HA,; ,ES24T1HN,; ,ES24T2H,; ,ES24T2HA,; ,ES24T2HN,; ,ES24T3H,; ,ES24T3HA,; ,ES24T3HN,; ,LE-24***,; ,LE-24T2,; ,LE-24T3,; ,LE-24V1,; ,LE-24V2,; ,LE-24V3,; ,NT-2406,; ,SC-2416STV,; ,TL2402H,",,Television (TV),Consumer,LCD,Direct-lit LED,23.53,236.69,768,1366,Other,0,Universal Serial Bus (USB),,,,0,,23.65,51.91,23.65,45.2,,0.29,0.29,0.29,2022-09-26,2022-10-18,"United States, Canada",ES_25251_LE-24T1_09262022155900_3996240
3554271,"ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED",Sansui,LE-24TA1,LE-24TA1,",****24****.,; ,C24V1HW,; ,C24VAHW,; ,LE-24T1,; ,LE-24T2,; ,LE-24T3,; ,LE-24TA2,; ,LE-24TA3,; ,LE-24V1,; ,LE-24V2,; ,LE-24V3,; ,LE-24VA1,; ,LE-24VA2,; ,LE-24VA3,; ,LE-24VB1,; ,LE-24VB2,; ,LE-24VB3,; ,S24T1HW,; ,S24TAHW,; ,S24V1HW,; ,S24VAHW,",,Television (TV),Consumer,LCD,Direct-lit LED,23.48,236.51,768,1366,Standard Definition (SD),0,"Universal Serial Bus (USB),HDMI",,,,0,,24.32,44.72,35.64,46.73,0.34,0.27,0.34,1.0,2024-07-02,2024-07-15,"United States, Canada",ES_25251_LE-24TA1_07012024093140_7212030
2399940,"ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED",Sansui,LE-32T1,LE-32T1,",EC32T1H,; ,EC32T1HA,; ,EC32T1HN,; ,EC32T2H,; ,EC32T2H,; ,EC32T2HA,; ,EC32T2HN,; ,EC32T3H,; ,EC32T3H,; ,EC32T3HA,; ,EC32T3HN,; ,EC32V1HA,; ,EC32V1HN,; ,EC32V2HA,; ,EC32V2HN,; ,EC32V3HA,; ,EC32V3HN,; ,ES32T1H,; ,ES32T1HA,; ,ES32T1HN,; ,ES32T2H,; ,ES32T2HA,; ,ES32T2HN,; ,ES32T3H,; ,ES32T3HA,; ,ES32T3HN,; ,ES32V1HA,; ,ES32V1HN,; ,ES32V2HA,; ,ES32V2HN,; ,ES32V3HA,; ,ES32V3HN,; ,LE-32***,; ,LE-32V1,; ,LE/32T1,; ,NT-3206,; ,SC-3216STV,; ,SL3221VN,; ,SL32XXXX,; ,TL3202H,",,Television (TV),Consumer,LCD,Direct-lit LED,31.5,421.69,768,1366,Other,0,Universal Serial Bus (USB),,,,0,,28.4,63.28,28.4,54.0,,0.31,0.31,0.31,2022-10-14,2022-07-29,"United States, Canada",ES_25251_LE-32T1_08012022115139_122644
3554326,"ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED",Sansui,LE-32V1,LE-32V1,",****32****.,; ,C32V1FW,; ,C32V1HW,; ,C32VAFW,; ,C32VAHW,; ,LE-32T1,; ,LE-32T1,; ,LE-32T2,; ,LE-32T2,; ,LE-32T3,; ,LE-32TA1,; ,LE-32TA2,; ,LE-32TA3,; ,LE-32V2,; ,LE-32V3,; ,LE-32V3,; ,LE-32VA1,; ,LE-32VA2,; ,LE-32VA3,; ,LE-32VB1,; ,LE-32VB2,; ,LE-32VB3,; ,S32V1FW,; ,S32V1HW,; ,S32VAFW,; ,S32VAHW,",,Television (TV),Consumer,LCD,Direct-lit LED,31.43,423.36,768,1366,Standard Definition (SD),0,"Universal Serial Bus (USB),HDMI",,,,0,,34.76,52.26,34.76,65.59,0.33,0.27,0.33,1.0,2024-07-03,2024-07-16,"United States, Canada",ES_25251_LE-32V1_07032024142750_541192
3477608,"ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED",Sansui,LE-32VA1,LE-32VA1,",*****32*****.,; ,LE-32T1,; ,LE-32T2,; ,LE-32T3,; ,LE-32TA1,; ,LE-32TA2,; ,LE-32TA3,; ,LE-32V1,; ,LE-32V2,; ,LE-32V3,; ,LE-32VA2,; ,LE-32VA3,; ,LE-32VB1,; ,LE-32VB2,; ,LE-32VB3,; ,LE-32VH1,; ,LE-32VH2,; ,LE-32VH3,; ,LE-32VS1,; ,LE-32VS2,; ,LE-32VS3,; ,S32VAHW,",,Television (TV),Consumer,LCD,Direct-lit LED,31.47,425.52,768,1366,High Definition (HD),0,"Universal Serial Bus (USB),HDMI",,,,0,,35.64,58.02,35.64,67.19,,0.29,0.29,0.0,2024-04-26,2024-05-06,"United States, Canada",ES_25251_LE-32VA1_04242024134641_6894342
3554325,"ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED",Sansui,LE-40TA1,LE-40TA1,",****40****.,; ,C40V1FW,; ,C40VAFW,; ,LE-40T1,; ,LE-40T2,; ,LE-40T3,; ,LE-40TA2,; ,LE-40TA3,; ,LE-40V1,; ,LE-40V2,; ,LE-40V3,; ,LE-40VA1,; ,LE-40VA2,; ,LE-40VA3,; ,LE-40VB1,; ,LE-40VB2,; ,LE-40VB3,; ,S40V1FW,; ,S40VAFW,",,Television (TV),Consumer,LCD,Direct-lit LED,39.46,695.29,1080,1920,High Definition (HD),0,"Universal Serial Bus (USB),HDMI",,,,0,,54.85,77.36,54.85,103.5,0.33,0.42,0.49,1.0,2024-07-09,2024-07-16,"United States, Canada",ES_25251_LE-40TA1_07092024151436_1926080
3477693,"ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED",Sansui,LE-40VA1,LE-40VA1,",*****40*****.,; ,LE-40T1,; ,LE-40T2,; ,LE-40T3,; ,LE-40TA1,; ,LE-40TA2,; ,LE-40TA3,; ,LE-40V1,; ,LE-40V2,; ,LE-40V3,; ,LE-40VA2,; ,LE-40VA3,; ,LE-40VB1,; ,LE-40VB2,; ,LE-40VB3,; ,LE-40VH1,; ,LE-40VH2,; ,LE-40VH3,; ,LE-40VS1,; ,LE-40VS2,; ,LE-40VS3,; ,S40VAFW,",,Television (TV),Consumer,LCD,Direct-lit LED,49.61,645.65,1080,1920,Other,0,"Universal Serial Bus (USB),HDMI",,,,0,,68.37,90.6,68.37,126.94,,0.44,0.5,0.0,2024-04-26,2024-05-07,"United States, Canada",ES_25251_LE-40VA1_04232024175748_7661096
3554699,"ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED",Sansui,LE-43V1,LE-43V1,",****43****.,; ,C43V1FW,; ,C43V1UW,; ,C43VAFW,; ,C43VAUW,; ,LE-43T1,; ,LE-43T1,; ,LE-43T2,; ,LE-43T2,; ,LE-43T3,; ,LE-43TA1,; ,LE-43TA2,; ,LE-43TA3,; ,LE-43V2,; ,LE-43V3,; ,LE-43V3,; ,LE-43VA1,; ,LE-43VA2,; ,LE-43VA3,; ,LE-43VB1,; ,LE-43VB2,; ,LE-43VB3,; ,S43V1FW,; ,S43V1UW,; ,S43VAFW,; ,S43VAUW,",,Television (TV),Consumer,LCD,Direct-lit LED,42.45,769.44,2160,3840,4K (UHD),0,"Universal Serial Bus (USB),HDMI",,,,0,,64.06,66.78,64.06,118.81,0.27,0.26,0.27,1.0,2024-07-09,2024-07-17,"United States, Canada",ES_25251_LE-43V1_07022024114415_2231866
2508240,"ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED",Sansui,LE-43VA1,LE-43VA1,",*****43*********,; ,C43TAUG,; ,C43VAUG,; ,E400GD43G-G, RTGU4370,; ,LE-43TA1,; ,LE-43TA2,; ,LE-43TA3,; ,LE-43TA4,; ,LE-43TA5,; ,LE-43VA2,; ,LE-43VA3,; ,LE-43VA4,; ,LE-43VA5,; ,PG43***,; ,PG43SKA,; ,PG43SMA,; ,PTGU43**,; ,RTA43****,; ,RTA4302,; ,RTA4302-B,; ,RTAU43****,; ,RTAU4350,; ,RTAU4350-B,; ,S43TAUG,; ,S43VAUG,; ,SC-****GTV .,; ,SC-4350GTV,; ,WG43UX4210,",,Television (TV),Consumer,LCD,Direct-lit LED,42.5,774.72,3840,2160,Other,0,"Universal Serial Bus (USB),HDMI",,,,0,,53.32,85.86,53.32,99.24,,0.27,0.28,0.0,2023-06-09,2023-06-12,"United States, Canada",ES_25251_LE-43VA1_06092023152622_9290277
